source_year,rank,list_title,book_url,source
1991,7,"The Waste Lands (Dark Tower, #3)",https://www.goodreads.com/book/show/34084.The_Waste_Lands,Goodreads Popular by Year
1991,8,Wild Swans: Three Daughters of China,https://www.goodreads.com/book/show/1848.Wild_Swans,Goodreads Popular by Year
1991,9,"Xenocide (Ender's Saga, #3)",https://www.goodreads.com/book/show/8648.Xenocide,Goodreads Popular by Year
1991,10,"The Firm (The Firm, #1)",https://www.goodreads.com/book/show/452235.The_Firm,Goodreads Popular by Year
1992,1,The Secret History,https://www.goodreads.com/book/show/29044.The_Secret_History,Goodreads Popular by Year
1992,2,"Dragonfly in Amber (Outlander, #2)",https://www.goodreads.com/book/show/5364.Dragonfly_in_Amber,Goodreads Popular by Year
1992,3,The Pelican Brief,https://www.goodreads.com/book/show/32499.The_Pelican_Brief,Goodreads Popular by Year
1992,4,Snow Crash,https://www.goodreads.com/book/show/61240297-snow-crash,Goodreads Popular by Year
1992,5,She’s Come Undone,https://www.goodreads.com/book/show/5203.She_s_Come_Undone,Goodreads Popular by Year
1992,6,Women Who Run With the Wolves,https://www.goodreads.com/book/show/241823.Women_Who_Run_With_the_Wolves,Goodreads Popular by Year
1992,7,"The Shadow Rising (Wheel of Time, #4)",https://www.goodreads.com/book/show/9539.The_Shadow_Rising,Goodreads Popular by Year
1992,8,"Sword of Destiny (The Witcher, #0.7)",https://www.goodreads.com/book/show/25454056-sword-of-destiny,Goodreads Popular by Year
1992,9,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",https://www.goodreads.com/book/show/32508.The_Black_Echo,Goodreads Popular by Year
1992,10,Gerald's Game,https://www.goodreads.com/book/show/32692.Gerald_s_Game,Goodreads Popular by Year
1993,1,"The Giver (Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver,Goodreads Popular by Year
1993,2,The Virgin Suicides,https://www.goodreads.com/book/show/10956.The_Virgin_Suicides,Goodreads Popular by Year
1993,3,"Parable of the Sower (Earthseed, #1)",https://www.goodreads.com/book/show/52397.Parable_of_the_Sower,Goodreads Popular by Year
1993,4,"The Last Wish (The Witcher, #0.5)",https://www.goodreads.com/book/show/40603587-the-last-wish,Goodreads Popular by Year
1993,5,B0010SIPT4,https://www.goodreads.com/book/show/51633549-the-last-wish,Goodreads Popular by Year
1993,6,"Along Came a Spider (Alex Cross, #1)",https://www.goodreads.com/book/show/13145.Along_Came_a_Spider,Goodreads Popular by Year
1993,7,"Girl, Interrupted",https://www.goodreads.com/book/show/68783.Girl_Interrupted,Goodreads Popular by Year
1993,8,The Client,https://www.goodreads.com/book/show/5359.The_Client,Goodreads Popular by Year
1993,9,"Voyager (Outlander, #3)",https://www.goodreads.com/book/show/10987.Voyager,Goodreads Popular by Year
1993,10,Trainspotting,https://www.goodreads.com/book/show/23955.Trainspotting,Goodreads Popular by Year
1994,1,"One for the Money (Stephanie Plum, #1)",https://www.goodreads.com/book/show/6853.One_for_the_Money,Goodreads Popular by Year
1994,2,The Wind-Up Bird Chronicle,https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle,Goodreads Popular by Year
1994,3,Midnight in the Garden of Good and Evil,https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil,Goodreads Popular by Year
1994,4,"Blood of Elves (The Witcher, #1)",https://www.goodreads.com/book/show/6043781-blood-of-elves,Goodreads Popular by Year
1994,5,"Kiss the Girls (Alex Cross, #2)",https://www.goodreads.com/book/show/13148.Kiss_the_Girls,Goodreads Popular by Year
1994,6,The Memory Police,https://www.goodreads.com/book/show/37004370-the-memory-police,Goodreads Popular by Year
1994,7,"The Alienist (Dr. Laszlo Kreizler, #1)",https://www.goodreads.com/book/show/40024.The_Alienist,Goodreads Popular by Year
1994,8,"Wizard's First Rule (Sword of Truth, #1)",https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,Goodreads Popular by Year
1994,9,"Lord of Chaos (Wheel of Time, #6)",https://www.goodreads.com/book/show/35231.Lord_of_Chaos,Goodreads Popular by Year
1994,10,Snow Falling on Cedars,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars,Goodreads Popular by Year
1995,1,"The Golden Compass (His Dark Materials, #1)",https://www.goodreads.com/book/show/119322.The_Golden_Compass,Goodreads Popular by Year
1995,2,I Who Have Never Known Men,https://www.goodreads.com/book/show/60811826-i-who-have-never-known-men,Goodreads Popular by Year
1995,3,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",https://www.goodreads.com/book/show/37442.Wicked,Goodreads Popular by Year
1995,4,"Assassin's Apprentice (Farseer Trilogy, #1)",https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Goodreads Popular by Year
1995,5,"The Firm (Penguin Readers, Level 5)",https://www.goodreads.com/book/show/5358.The_Firm,Goodreads Popular by Year
1995,6,"A Child Called ""It"" (Dave Pelzer, #1)",https://www.goodreads.com/book/show/60748.A_Child_Called_It_,Goodreads Popular by Year
1995,7,ACE #1,https://www.goodreads.com/book/show/25862303,Goodreads Popular by Year
1995,8,Blindness,https://www.goodreads.com/book/show/40495148-blindness,Goodreads Popular by Year
1995,9,Dreams from My Father: A Story of Race and Inheritance,https://www.goodreads.com/book/show/88061.Dreams_from_My_Father,Goodreads Popular by Year
1995,10,Emotional Intelligence: Why It Can Matter More Than IQ,https://www.goodreads.com/book/show/26329.Emotional_Intelligence,Goodreads Popular by Year
1996,1,"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,Goodreads Popular by Year
1996,2,"The Notebook (The Notebook, #1)",https://www.goodreads.com/book/show/33648131-the-notebook,Goodreads Popular by Year
1996,3,Into the Wild,https://www.goodreads.com/book/show/60869516-into-the-wild,Goodreads Popular by Year
1996,4,"Bridget Jones’s Diary (Bridget Jones, #1)",https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,Goodreads Popular by Year
1996,5,Fight Club,https://www.goodreads.com/book/show/36236124-fight-club,Goodreads Popular by Year
1996,6,"Neverwhere (London Below, #1)",https://www.goodreads.com/book/show/14497.Neverwhere,Goodreads Popular by Year
1996,7,"Angela's Ashes (Frank McCourt, #1)",https://www.goodreads.com/book/show/252577.Angela_s_Ashes,Goodreads Popular by Year
1996,8,The Green Mile,https://www.goodreads.com/book/show/11566.The_Green_Mile,Goodreads Popular by Year
1996,9,Divine Secrets of the Ya-Ya Sisterhood,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood,Goodreads Popular by Year
1996,10,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,Goodreads Popular by Year
1997,1,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone,Goodreads Popular by Year
1997,2,Memoirs of a Geisha,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,Goodreads Popular by Year
1997,3,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,Goodreads Popular by Year
